Part Number;Package;Color;Dominant Wavelength Min. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Typ. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Max. (nm)orColor Coordinate(x, y)(nm);Luminous Intensity IVMin.(mcd);Luminous Intensity IVTyp.(mcd);Luminous Intensity IVMax.(mcd);IFforIV(mA);Luminous Flux ΦVMin.(mIm);Luminous Flux ΦVTyp.(mIm);Luminous Flux ΦVMax.(mIm);IFforΦV(mA);Forward Voltage, VFTyp.(V);Forward Voltage, VFMax.(V);Angle of Half Intensity(± °);Key Feature;Image path;Datasheet part;3d model part
VLMW45R1S1-5K6L;SMD PLCC-2;White;;0.33, 0.33;;112;160;224;5;;;;;3.3;4.2;60;Standard;83374;leds\VLMW45R1S1-5K6L\VLMW45R1S1-5K6L.pdf;
VLMY1300;SMD 0603 ChipLED;Yellow;584.5;;597;28;;180;20;;;;;;2.4;65;Standard;82437;leds\VLMY1300\VLMY1300.pdf;
VLMY1301;SMD 0603 ChipLED;Yellow;584.5;;597;71;;180;20;;;;;;2.4;65;Standard;82437;leds\VLMY1301\VLMY1301.pdf;
VLMY1500;SMD 0402 ChipLED;Yellow;587;590;597;28;90;180;20;;;;;2.00;2.40;65;Standard;82554;leds\VLMY1500\VLMY1500.pdf;
VLMY1501;SMD 0402 ChipLED;Yellow;587;590;597;45;90;180;20;;;;;2.00;2.40;65;Standard;82554;leds\VLMY1501\VLMY1501.pdf;
VLMY2100;SMD MiniLED;Yellow;581;588;594;3.55;8.5;;10;;;;;2.2;3;60;Standard;81233;leds\VLMY2100\VLMY2100.pdf;
VLMY3100;SMD PLCC-2;Yellow;581;588;594;2.8;11;;10;;;;;2.1;2.8;60;Standard;84789;leds\VLMY3100\VLMY3100.pdf;
VLMY3101;SMD PLCC-2;Yellow;581;588;594;4.5;10;11.2;10;;;;;2.1;2.8;60;Standard;84789;leds\VLMY3101\VLMY3101.pdf;
VLMY3102;SMD PLCC-2;Yellow;581;588;594;7.1;11;18;10;;;;;2.1;2.8;60;Standard;84789;leds\VLMY3102\VLMY3102.pdf;
VLMY31J1K2;SMD PLCC-2;Yellow;581;588;594;4.5;7.6;11.2;10;;;;;2.1;2.8;60;Standard;81326;leds\VLMY31J1K2\VLMY31J1K2.pdf;
VLMY31K1L2;SMD PLCC-2;Yellow;581;588;594;7.1;8.6;18;10;;;;;2.1;2.8;60;Standard;81326;leds\VLMY31K1L2\VLMY31K1L2.pdf;
VLRE31R1S2;SMD reverse gullwing;Yellow;581;588;594;112;;285;20;;;;;2.1;2.3;60;Standard;81779;leds\VLRE31R1S2\VLRE31R1S2.pdf;
VLRE31R2S2-XY;SMD reverse gullwing;Yellow;585;588;591;140;;285;20;;;;;2.1;2.3;60;Standard;81779;leds\VLRE31R2S2-XY\VLRE31R2S2-XY.pdf;
VLRK31Q1R2;SMD reverse gullwing;Red;620;630;635;71;;180;20;;;;;2.1;2.3;60;Standard;81778;leds\VLRK31Q1R2\VLRK31Q1R2.pdf;
VLRK31R1S2;SMD reverse gullwing;Red;620;630;635;112;;285;20;;;;;2.1;2.3;60;Standard;81778;leds\VLRK31R1S2\VLRK31R1S2.pdf;
VLRYG31P1Q2;SMD reverse gullwing;Yellow green;564.5;571;576.5;45;72;112.5;20;;;;;2.1;2.3;60;Standard;80249;leds\VLRYG31P1Q2\VLRYG31P1Q2.pdf;
VLRYG31Q1R2;SMD reverse gullwing;Yellow green;564.5;571;576.5;71.5;112;180;20;;;;;2.1;2.3;60;Standard;80249;leds\VLRYG31Q1R2\VLRYG31Q1R2.pdf;
