Part Number;Status;Description;Product Type;VINMin.(V);VINMax.(V);Package;Package Size(W, L, H)(mm);Image path;Datasheet part;3d model part
SIP32434B;Active;6 A, 33 mΩ, 2.8 V to 23 V,programmable OVP and current limit, auto retry on fault;Slew rate, current limit;2.8;28;DFN33-10L;3.0 x 3.0 x 0.9;63147;Datasheet/power-ics/healthcare/SIP32434B/SIP32434B.pdf;None
SiP32481DB;;7 V (D-S), N-Channel Switch in WCSP3;Slew Rate;0.8;6;WCSP;0.96 x 0.96 x 0.27;75939;Datasheet/power-ics/healthcare/SiP32481DB/SiP32481DB.pdf;None
SiP32101;Active;2.3 V to 5.5 V, 6.5 mΩ, 7 A, bidirectional switch, EN active low with internal pull-down resistor;Slew rate, true bidirectional;2.3;5.5;WCSP12;1.3 x 1.7 x 0.5;78628;Datasheet/power-ics/healthcare/SiP32101/SiP32101.pdf;None
SiP32102;Active;2.3 V to 5.5 V, 6.5 mΩ, 7 A, bidirectional switch, EN active high with internal pull-down resistor;Slew rate, true bidirectional;2.3;5.5;WCSP12;1.3 x 1.7 x 0.5;78628;Datasheet/power-ics/healthcare/SiP32102/SiP32102.pdf;None
SiP32103;Active;2.3 V to 5.5 V, 6.5 mΩ, 7 A, bidirectional switch, EN active low with internal pull-up resistor;Slew rate, true bidirectional;2.3;5.5;WCSP12;1.3 x 1.7 x 0.5;78628;Datasheet/power-ics/healthcare/SiP32103/SiP32103.pdf;None
SiP32104;Active;2.3 V to 5.5 V, 6.5 mΩ, 7 A, bidirectional switch, EN active low;Slew rate, true bidirectional;2.3;5.5;WCSP12;1.3 x 1.7 x 0.5;78628;Datasheet/power-ics/healthcare/SiP32104/SiP32104.pdf;None
SiC448;New;6 A, 4.5 V to 45 V input, 100 kHz to 2 MHz, synchronous buck regulator;microBUCK (step down regulator);4.5;45;PowerPAK MLP55-27L;5 x 5 x 0.75;77185;Datasheet/power-ics/healthcare/SiC448/SiC448.pdf;None
SiC466;New;10 A, 4.5 V to 60 V input,100 kHz to 2 MHz,synchronous microBUCKregulator;microBUCK (step down regulator);4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;76044;Datasheet/power-ics/healthcare/SiC466/SiC466.pdf;None
SiC467;New;6 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;microBUCK (step down regulator);4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;76044;Datasheet/power-ics/healthcare/SiC467/SiC467.pdf;None
SiC468;New;4 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;microBUCK (step down regulator);4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;76044;Datasheet/power-ics/healthcare/SiC468/SiC468.pdf;None
SiC469;New;2 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;microBUCK (step down regulator);4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;76044;Datasheet/power-ics/healthcare/SiC469/SiC469.pdf;None
SiP32433A;Active;3.5 A, 78 mΩ, 2.8 V to 23 V, programmable OVP and current limit, active reverse blocking, latch-off on fault;Slew rate, current limit;2.8;28;DFN33-10L;3.0 x 3.0 x 0.9;63175;Datasheet/power-ics/healthcare/SiP32433A/SiP32433A.pdf;None
SiP32433B;Active;3.5 A, 78 mΩ, 2.8 V to 23 V, programmable OVP and current limit, active reverse blocking, auto retry on fault;Slew rate, current limit;2.8;28;DFN33-10L;3.0 x 3.0 x 0.9;63175;Datasheet/power-ics/healthcare/SiP32433B/SiP32433B.pdf;None
SiC461;Active;10 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous buck regulator;"microBUCK
(step down regulator)";4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;65124;Datasheet/power-ics/healthcare/SiC461/SiC461.pdf;None
SiC462;Active;6 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous buck regulator;"microBUCK
(step down regulator)";4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;65124;Datasheet/power-ics/healthcare/SiC462/SiC462.pdf;None
SiC463;Active;4 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous buck regulator;"microBUCK
(step down regulator)";4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;65124;Datasheet/power-ics/healthcare/SiC463/SiC463.pdf;None
SiC464;Active;2 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous buck regulator;"microBUCK
(step down regulator)";4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;65124;Datasheet/power-ics/healthcare/SiC464/SiC464.pdf;None
SiC471;New;12 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;"microBUCK
(step down regulator)";4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;75786;Datasheet/power-ics/healthcare/SiC471/SiC471.pdf;None
SiC472;New;8 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;"microBUCK
(step down regulator)";4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;75786;Datasheet/power-ics/healthcare/SiC472/SiC472.pdf;None
SiC473;New;5 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;"microBUCK
(step down regulator)";4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;75786;Datasheet/power-ics/healthcare/SiC473/SiC473.pdf;None
SiC474;New;3 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;"microBUCK
(step down regulator)";4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;75786;Datasheet/power-ics/healthcare/SiC474/SiC474.pdf;None
SiC967;New;4.5 V to 60 V input, 6 A, microBRICK® DC/DC regulator module;microBRICK® (step down regulator)?;4.5;60;PowerPAK MLP54-A6C;10.6 x 6.5 x 3;76444;Datasheet/power-ics/healthcare/SiC967/SiC967.pdf;None
SiC931;New;4.5 V to 18 V input, 20 A microBRICK® DC/DC regulator module;microBRICK® (step down regulator);4.5;18;PowerPAK MLP60-A6C;10.6 x 6.5 x 3;79602;Datasheet/power-ics/healthcare/SiC931/SiC931.pdf;None
SiC476;New;12 A, 4.5 V to 55 V input,100 kHz to 2 MHz,synchronous microBUCKregulator;microBUCK (step down regulator);4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;77113;Datasheet/power-ics/healthcare/SiC476/SiC476.pdf;None
SiC477;New;8 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;microBUCK (step down regulator);4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;77113;Datasheet/power-ics/healthcare/SiC477/SiC477.pdf;None
SiC478;New;5 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;microBUCK (step down regulator);4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;77113;Datasheet/power-ics/healthcare/SiC478/SiC478.pdf;None
SiC479;New;3 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;microBUCK (step down regulator);4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;77113;Datasheet/power-ics/healthcare/SiC479/SiC479.pdf;None
