Part Number;Status;Description;Product Type;VINMin.(V);VINMax.(V);Package;Package Size(W, L, H)(mm);Image path;Datasheet part;3d model part
SiC632A;Active;50 A power stage, 4.5 VINto 24 VIN, 3.3 V PWM with ZCD mode;VRPower (DrMOS);4.5;24;PowerPAK MLP55-31L;5.0 x 5.0 x 0.75;62992;Datasheet/power-ics/industrial/SiC632A/SiC632A.pdf;None
SiP2204;Active;0.5 A power stage, 10 VINto 24 VIN, 3.3 V and 5.5 V PWM with - mode;VRPower (DrMOS);10;24;QFN32-55;5.0 x 5.0 x 0.85;62619;Datasheet/power-ics/industrial/SiP2204/SiP2204.pdf;None
SiC620R;Active;60 A power stage, 4.5 VINto 18 VIN, 5 V PWM with ZCD mode, dual side cooling;VRPower (DrMOS);4.5;18;PowerPAK MLP55-31L double cooling;5.0 x 5.0 x 0.60;63589;Datasheet/power-ics/industrial/SiC620R/SiC620R.pdf;None
SiC620AR;Active;60 A power stage, 4.5 VINto 18 VIN, 3.3 V PWM with ZCD mode, dual side cooling;VRPower (DrMOS);4.5;18;PowerPAK MLP55-31L double cooling;5.0 x 5.0 x 0.60;63589;Datasheet/power-ics/industrial/SiC620AR/SiC620AR.pdf;None
SiC645;Active;60 A smart power stage, 4.5 VINto 18 VIN, 5 V PWM with diode emulation mode;VRPower (DrMOS);4.5;18;PowerPAK MLP55-32L double cooling;5.0 x 5.0 x 0.60;65424;Datasheet/power-ics/industrial/SiC645/SiC645.pdf;None
SiC645A;Active;60 A smart power stage, 4.5 VINto 18 VIN, 3.3 V PWM with diode emulation mode;VRPower (DrMOS);4.5;18;PowerPAK MLP55-32L double cooling;5.0 x 5.0 x 0.60;65424;Datasheet/power-ics/industrial/SiC645A/SiC645A.pdf;None
SiC652;New;55 A power stage plus, 4.5 VINto 24 VIN, 5 V PWM with ZCD, PS4 mode;VRPower (DrMOS);4.5;24;PowerPAK MLP55-31L;5.0 x 5.0 x 0.75;71576;Datasheet/power-ics/industrial/SiC652/SiC652.pdf;None
SiC652A;New;55 A power stage plus, 4.5 VINto 24 VIN, 3.3 V PWM with ZCD, PS4 mode;VRPower (DrMOS);4.5;24;PowerPAK MLP55-31L;5.0 x 5.0 x 0.75;71576;Datasheet/power-ics/industrial/SiC652A/SiC652A.pdf;None
SiC657;New;50 A power stage, 4.5 VINto 24 VIN, 5 V PWM with ZCD, PS4 mode;VRPower (DrMOS);4.5;24;PowerPAK MLP55-31L;5.0 x 5.0 x 0.75;71580;Datasheet/power-ics/industrial/SiC657/SiC657.pdf;None
SiC657A;New;50 A power stage, 4.5 VINto 24 VIN, 3.3 V PWM with ZCD, PS4 mode;VRPower (DrMOS);4.5;24;PowerPAK MLP55-31L;5.0 x 5.0 x 0.75;71580;Datasheet/power-ics/industrial/SiC657A/SiC657A.pdf;None
SiP32510;Active;1.2 V to 5.5 V, 44 mΩ, 1.6 ms rise time with bidirectional off isolation, output discharge;Slew rate;1.2;5.5;TSOT23-6;3.0 x 2.9 x 1.0;63577;Datasheet/power-ics/industrial/SiP32510/SiP32510.pdf;None
SiP32430;Active;6 V to 28 V, 99 mΩ, programmable current limit and slew rate, auto retry on fault;Slew rate, current limit;6;28;DFN33-10L;3.0 x 3.0 x 0.9;65223;Datasheet/power-ics/industrial/SiP32430/SiP32430.pdf;None
SiP4282;Active;1.8 V to 5.5 V, 105 mΩ, 100 µs rise time, with UVLO;Slew rate;1.8;5.5;TDFN4;1.2 x 1.6 x 0.5;65740;Datasheet/power-ics/industrial/SiP4282/SiP4282.pdf;None
SiP4282;Active;1.8 V to 5.5 V, 105 mΩ, 100 µs rise time, with UVLO;Slew rate;1.8;5.5;PowerPAK SC-75-6;0.75 x 1.6 x 0.5;65740;Datasheet/power-ics/industrial/SiP4282/SiP4282.pdf;None
SiP4282A;Active;1.5 V to 5.5 V, 105 mΩ, 100 µs rise time;Slew rate;1.5;5.5;TDFN4;1.2 x 1.6 x 0.5;65740;Datasheet/power-ics/industrial/SiP4282A/SiP4282A.pdf;None
SiP4282A;Active;1.5 V to 5.5 V, 105 mΩ, 100 µs rise time;Slew rate;1.5;5.5;PowerPAK SC-75-6;0.75 x 1.6 x 0.5;65740;Datasheet/power-ics/industrial/SiP4282A/SiP4282A.pdf;None
SiP32411;Active;1.1 V to 5 V, 62 mΩ, 150 μs rise time, output discharge;Slew rate;1.1;5.5;TDFN4;1.2 x 1.6 x 0.5;66710;Datasheet/power-ics/industrial/SiP32411/SiP32411.pdf;None
SiP32411;Active;1.1 V to 5 V, 101 mΩ, 150 μs rise time, output discharge;Slew rate;1.1;5.5;SC-70-6;2.0 x 2.0 x 0.5;66710;Datasheet/power-ics/industrial/SiP32411/SiP32411.pdf;None
SiP32408;Active;1.1 V to 5.5 V, 42 mΩ, 2.5 ms rise time, bidirectional off isolation;Slew rate;1.1;5.5;TDFN4;1.2 x 1.6 x 0.5;63717;Datasheet/power-ics/industrial/SiP32408/SiP32408.pdf;None
SiP32409;Active;1.1 V to 5.5 V, 42 mΩ, 2.5 ms rise time, bidirectional off isolation, output discharge;Slew rate;1.1;5.5;TDFN4;1.2 x 1.6 x 0.5;63717;Datasheet/power-ics/industrial/SiP32409/SiP32409.pdf;None
SiP32413;Active;Dual switch, 1.1 V to 5.5 V, 150 μs rise time, reversed EN logic;Slew rate;1.1;5.5;TDFN8;2.0 x 2.0 x 0.5;71437;Datasheet/power-ics/industrial/SiP32413/SiP32413.pdf;None
SiP32414;Active;1.1 V to 5.5 V, 150 μs rise time, output discharge;Slew rate;1.1;5.5;TDFN8;2.0 x 2.0 x 0.5;71437;Datasheet/power-ics/industrial/SiP32414/SiP32414.pdf;None
SiP32416;Active;1.1 V to 5.5 V, 2.5 ms rise time, output discharge;Slew rate;1.1;5.5;TDFN8;2.0 x 2.0 x 0.5;71437;Datasheet/power-ics/industrial/SiP32416/SiP32416.pdf;None
SiP32508;Active;1.1 V to 5.5 V, 44 mΩ, 2.5 ms rise time, bidirectional off isolation;Slew rate;1.1;5.5;TSOT23-6;3.0 x 2.9 x 1.0;62754;Datasheet/power-ics/industrial/SiP32508/SiP32508.pdf;None
SiP32509;Active;1.1 V to 5.5 V, 44 mΩ, 2.5 ms rise time, bidirectional off isolation, output discharge;Slew rate;1.1;5.5;TSOT23-6;3.0 x 2.9 x 1.0;62754;Datasheet/power-ics/industrial/SiP32509/SiP32509.pdf;None
SiP32431DN;Active;1.5 V to 5.5 V, 105 mΩ, 10 pA IQ, bidirectional off isolation, EN active high;Slew rate;1.5;5.5;TDFN4;1.2 x 1.6 x 0.5;66597;Datasheet/power-ics/industrial/SiP32431DN/SiP32431DN.pdf;None
SiP32431DR;Active;1.5 V to 5.5 V, 147 mΩ, 10 pA IQ, bidirectional off isolation, EN active high;Slew rate;1.5;5.5;SC-70-6;2.0 x 2.0 x 0.5;66597;Datasheet/power-ics/industrial/SiP32431DR/SiP32431DR.pdf;None
SiP32432DN;Active;1.5 V to 5.5 V, 105 mΩ, 10 pA IQ, bidirectional off isolation, EN active low;Slew rate;1.5;5.5;TDFN4;1.2 x 1.6 x 0.5;66597;Datasheet/power-ics/industrial/SiP32432DN/SiP32432DN.pdf;None
SiP32432DR;Active;1.5 V to 5.5 V, 147 mΩ, 10 pA IQ, bidirectional off isolation, EN active low;Slew rate;1.5;5.5;SC-70-6;2.0 x 2.0 x 0.5;66597;Datasheet/power-ics/industrial/SiP32432DR/SiP32432DR.pdf;None
SiP32501;Active;0.9 V to 2.5 V, 66 mΩ, 9.8 µs rise time, load switch;Slew rate;0.9;2.5;TDFN4;1.2 x 1.6 x 0.5;75595;Datasheet/power-ics/industrial/SiP32501/SiP32501.pdf;None
SiP32451;Active;0.9 V to 2.5 V, 55 mΩ, bidirectional off isolation, fast turn on / off, output discharge;Slew rate;0.9;2.5;WCSP4;0.8 x 0.8 x 0.5;63315;Datasheet/power-ics/industrial/SiP32451/SiP32451.pdf;None
SiP32452;Active;0.9 V to 2.5 V, 55 mΩ, bidirectional off isolation, fast turn on / off;Slew rate;0.9;2.5;WCSP4;0.8 x 0.8 x 0.5;63315;Datasheet/power-ics/industrial/SiP32452/SiP32452.pdf;None
SiP32453;Active;0.9 V to 2.5 V, 55 mΩ, bidirectional off isolation, fast turn on and 98 µs turn off delay;Slew rate;0.9;2.5;WCSP4;0.8 x 0.8 x 0.5;63315;Datasheet/power-ics/industrial/SiP32453/SiP32453.pdf;None
SiP32475;Active;1.2 V to 5.5 V, 47 mΩ, 200 µs rise time, bidirectional off isolation, output discharge;Slew rate;1.2;5.5;µDFN-4L;1.0 x 1.0 x 0.35;75792;Datasheet/power-ics/industrial/SiP32475/SiP32475.pdf;None
SiP32458;Active;1.5 V to 5.5 V, 20 mΩ, bidirectional off isolation;Slew rate;1.5;5.5;WCSP6;1.0 x 1.5 x 0.5;63999;Datasheet/power-ics/industrial/SiP32458/SiP32458.pdf;None
SiP32459;Active;1.5 V to 5.5 V, 20 mΩ, output discharge;Slew rate;1.5;5.5;WCSP6;1.0 x 1.5 x 0.5;63999;Datasheet/power-ics/industrial/SiP32459/SiP32459.pdf;None
SiP32460;Active;1.2 V to 5.5 V, 50 mΩ, 200 µs rise time, bidirectional off isolation;Slew rate;1.2;5.5;WCSP4;0.8 x 0.8 x 0.5;67754;Datasheet/power-ics/industrial/SiP32460/SiP32460.pdf;None
SiP32461;Active;1.2 V to 5.5 V, 50 mΩ, 200 µs rise time, bidirectional off isolation, output discharge;Slew rate;1.2;5.5;WCSP4;0.8 x 0.8 x 0.5;67754;Datasheet/power-ics/industrial/SiP32461/SiP32461.pdf;None
SiP32462;Active;1.2 V to 5.5 V, 50 mΩ, 7.5 µs rise time, bidirectional off isolation;Slew rate;1.2;5.5;WCSP4;0.8 x 0.8 x 0.5;67754;Datasheet/power-ics/industrial/SiP32462/SiP32462.pdf;None
SiP32467;Active;1.2 V to 5.5 V, 50 mΩ, EN active low, bidirectional off isolation;Slew rate;1.2;5.5;WCSP4;0.8 x 0.8 x 0.5;67757;Datasheet/power-ics/industrial/SiP32467/SiP32467.pdf;None
SiP32468;Active;1.2 V to 5.5 V, 50 mΩ, EN active low, bidirectional off isolation, output discharge;Slew rate;1.2;5.5;WCSP4;0.8 x 0.8 x 0.5;67757;Datasheet/power-ics/industrial/SiP32468/SiP32468.pdf;None
SiP32454;Active;0.8 V to 2.5 V, 28 mΩ, 1.5 ms rise time, output discharge;Slew rate;0.8;2.5;WCSP4;0.8 x 0.8 x 0.5;62531;Datasheet/power-ics/industrial/SiP32454/SiP32454.pdf;None
SiP32455;Active;0.8 V to 2.5 V, 28 mΩ, 1.5 ms rise time;Slew rate;0.8;2.5;WCSP4;0.8 x 0.8 x 0.5;62531;Datasheet/power-ics/industrial/SiP32455/SiP32455.pdf;None
SiC437A;New;12 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode and internal 5 V bias;microBUCK (step down regulator);4.5;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/industrial/SiC437A/SiC437A.pdf;None
SiC437B;New;12 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode and internal 5 V bias;microBUCK (step down regulator);4.5;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/industrial/SiC437B/SiC437B.pdf;None
SiC437C;New;12 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode, requires external 5 V bias;microBUCK (step down regulator);3;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/industrial/SiC437C/SiC437C.pdf;None
SiC437D;New;12 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode, requires external 5 V bias;microBUCK (step down regulator);3;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/industrial/SiC437D/SiC437D.pdf;None
SiC438A;Active;8 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode and internal 5 V bias;microBUCK (step down regulator);4.5;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/industrial/SiC438A/SiC438A.pdf;None
SiC438B;Active;8 A, 4.5 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode and internal 5 V bias;microBUCK (step down regulator);4.5;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/industrial/SiC438B/SiC438B.pdf;None
SiC438C;Active;8 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with ultrasonic mode, requires external 5 V bias;microBUCK (step down regulator);3;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/industrial/SiC438C/SiC438C.pdf;None
SiC438D;Active;8 A, 3 V to 28 V input, 300 kHz, 500 kHz, 750 kHz, 1 MHz, synchronous buck regulator with power save mode, requires external 5 V bias;microBUCK (step down regulator);3;28;PowerPAK MLP44-24L;4 x 4 x 0.75;75921;Datasheet/power-ics/industrial/SiC438D/SiC438D.pdf;None
SiP32419;Active;6 V to 28 V, 56 mΩ, programmable current limit and slew rate, latch-off on fault;Slew rate, current limit;6;28;DFN33-10L;3.0 x 3.0 x 0.9;63939;Datasheet/power-ics/industrial/SiP32419/SiP32419.pdf;None
SiP32429;Active;6 V to 28 V, 56 mΩ, programmable current limit and slew rate, auto-retry on fault;Slew rate, current limit;6;28;DFN33-10L;3.0 x 3.0 x 0.9;63939;Datasheet/power-ics/industrial/SiP32429/SiP32429.pdf;None
SiC546;New;40 A power stage, 4.5 VINto 24 VIN, 5 V PWM with ZCD, PS4 mode;VRPower (DrMOS);4.5;24;PowerPAK MLP4535-22L;4.5 x 3.5 x 0.75;77468;Datasheet/power-ics/industrial/SiC546/SiC546.pdf;None
SiC547;New;35 A power stage, 4.5 VINto 24 VIN, 5 V PWM with ZCD, PS4 mode;VRPower (DrMOS);4.5;24;PowerPAK MLP4535-22L;4.5 x 3.5 x 0.75;77471;Datasheet/power-ics/industrial/SiC547/SiC547.pdf;None
SiC651;New;50 A power stage plus, 2.5 VINto 24 VIN, 5 V PWM with ZCD, PS4 mode;VRPower (DrMOS);2.5;24;PowerPAK MLP55-31L;5.0 x 5.0 x 0.75;77108;Datasheet/power-ics/industrial/SiC651/SiC651.pdf;None
SiC651A;New;50 A power stage plus, 2.5 VINto 24 VIN, 3.3 V PWM with ZCD, PS4 mode;VRPower (DrMOS);2.5;24;PowerPAK MLP55-31L;5.0 x 5.0 x 0.75;77108;Datasheet/power-ics/industrial/SiC651A/SiC651A.pdf;None
SiC647;New;50 A power stage, 4.5 VINto 16 VIN, 5 V PWM with ZCD, PS4 mode;VRPower (DrMOS);4.5;16;PowerPAK MLP55-31L;5.0 x 5.0 x 0.75;77489;Datasheet/power-ics/industrial/SiC647/SiC647.pdf;None
SiC544;Active;40 A power stage, 4.5 VINto 24 VIN, 5 V PWM with ZCD, PS4 mode;VRPower (DrMOS);4.5;24;PowerPAK MLP4535-22L;4.5 x 3.5 x 0.75;63010;Datasheet/power-ics/industrial/SiC544/SiC544.pdf;None
SiC545;Active;30 A power stage, 4.5 VINto 24 VIN, 5 V PWM with ZCD, PS4 mode;VRPower (DrMOS);4.5;24;PowerPAK MLP4535-22L;4.5 x 3.5 x 0.75;63011;Datasheet/power-ics/industrial/SiC545/SiC545.pdf;None
SiC673;Active;50 A, 4.5 V to 24 V, 5 V PWM, Power stage with ZCD, with PS4 mode;VRPower (DrMOS);4.5;24;PowerPAK MLP55-31L;5 x 5 x 0.7;63070;Datasheet/power-ics/industrial/SiC673/SiC673.pdf;None
SiC822;New;"70 A smart power stage, 4.5 VINto 16 VIN, 
5 V PWM with diode emulation mode";VRPower (DrMOS);4.5;16;PowerPAK MLP39-65;5.0 x 6.0 x 0.75;74588;Datasheet/power-ics/industrial/SiC822/SiC822.pdf;None
SiC822A;New;"70 A smart power stage, 4.5 VINto 16 VIN, 
3.3 V PWM with diode emulation mode";VRPower (DrMOS);4.5;16;PowerPAK MLP39-65;5.0 x 6.0 x 0.75;74588;Datasheet/power-ics/industrial/SiC822A/SiC822A.pdf;None
SiC830;New;"80 A smart power stage, 4.5 VINto 19 VIN, 
5 V PWM with diode emulation mode";VRPower (DrMOS);4.5;19;PowerPAK MLP39-65;5.0 x 6.0 x 0.75;77047;Datasheet/power-ics/industrial/SiC830/SiC830.pdf;None
SiC830A;New;"80 A smart power stage, 4.5 VINto 19 VIN, 
3.3 V PWM with diode emulation mode";VRPower (DrMOS);4.5;19;PowerPAK MLP39-65;5.0 x 6.0 x 0.75;77047;Datasheet/power-ics/industrial/SiC830A/SiC830A.pdf;None
SiC832;New;"70 A smart power stage, 4.5 VINto 21 VIN, 
5 V PWM with diode emulation";VRPower (DrMOS);4.5;21;PowerPAK MLP39-65;5.0 x 6.0 x 0.75;66846;Datasheet/power-ics/industrial/SiC832/SiC832.pdf;None
SiC832A;New;"70 A smart power stage, 4.5 VINto 21 VIN, 
3.3 V PWM with diode emulation";VRPower (DrMOS);4.5;21;PowerPAK MLP39-65;5.0 x 6.0 x 0.75;66846;Datasheet/power-ics/industrial/SiC832A/SiC832A.pdf;None
SiC825;New;80 A smart power stage, 4.5 VINto 16 VIN, 5 V PWM with diode emulation mode;VRPower (DrMOS);3;16;PowerPAK® MLP39-65;5.0 x 6.0 x 0.75;63016;Datasheet/power-ics/industrial/SiC825/SiC825.pdf;None
SiC825A;New;80 A smart power stage, 4.5 VINto 16 VIN, 3.3 V PWM with diode emulation mode;VRPower (DrMOS);3;16;PowerPAK® MLP39-65;5.0 x 6.0 x 0.75;63016;Datasheet/power-ics/industrial/SiC825A/SiC825A.pdf;None
SiC820;New;"80 A smart power stage, 4.5 VINto 16 VIN, 
5 V PWM with diode emulation mode";VRPower (DrMOS);4.5;16;PowerPAK MLP39-65;5.0 x 6.0 x 0.75;77084;Datasheet/power-ics/industrial/SiC820/SiC820.pdf;None
SiC820A;New;"80 A smart power stage, 4.5 VINto 16 VIN, 
3.3 V PWM with diode emulation mode";VRPower (DrMOS);4.5;16;PowerPAK MLP39-65;5.0 x 6.0 x 0.75;77084;Datasheet/power-ics/industrial/SiC820A/SiC820A.pdf;None
SiC575A;Active;60 A smart power stage, 4.5 VINto 18 VIN, 3.3 V PWM with diode emulation mode;VRPower (DrMOS);4.5;18;PowerPAK MLP24-45L;4.0 x 5.0 x 0.60;62090;Datasheet/power-ics/industrial/SiC575A/SiC575A.pdf;None
SiC675A;Active;60 A smart power stage, 4.5 VINto 18 VIN, 3.3 V PWM with diode emulation mode;VRPower (DrMOS);4.5;18;PowerPAK MLP55-30L;5.0 x 5.0 x 0.60;62089;Datasheet/power-ics/industrial/SiC675A/SiC675A.pdf;None
SIP32434A;Active;6 A, 33 mΩ, 2.8 V to 23 V, programmable OVP and current limit, latch-off on fault;Slew rate, current limit;2.8;28;DFN33-10L;3.0 x 3.0 x 0.9;63147;Datasheet/power-ics/industrial/SIP32434A/SIP32434A.pdf;None
SIP32434B;Active;6 A, 33 mΩ, 2.8 V to 23 V,programmable OVP and current limit, auto retry on fault;Slew rate, current limit;2.8;28;DFN33-10L;3.0 x 3.0 x 0.9;63147;Datasheet/power-ics/industrial/SIP32434B/SIP32434B.pdf;None
SiP32481DB;;7 V (D-S), N-Channel Switch in WCSP3;Slew Rate;0.8;6;WCSP;0.96 x 0.96 x 0.27;75939;Datasheet/power-ics/industrial/SiP32481DB/SiP32481DB.pdf;None
SiC32301;;0.6 mΩ, hot-swap eFuse, IMON, PGD, D_OC report latch on fault;Hot swap, eFuse, slew rate, current report;4.5;25;MLP55-32;5 x 5 x 0.8;63094;Datasheet/power-ics/industrial/SiC32301/SiC32301.pdf;None
SiC32302;;0.6 mΩ, hot-swap eFuse, IMON, PGD, D_OC report latch on fault;Hot swap, eFuse, slew rate, current report;4.5;25;MLP55-32;5 x 5 x 0.8;63094;Datasheet/power-ics/industrial/SiC32302/SiC32302.pdf;None
SiC32303;;0.6 mΩ, hot-swap eFuse, IMON, PGD, D_OC report latch on fault;Hot swap, eFuse, slew rate, current report;4.5;25;MLP55-32;5 x 5 x 0.8;63094;Datasheet/power-ics/industrial/SiC32303/SiC32303.pdf;None
SiC32304;;0.6 mΩ, hot-swap eFuse, IMON, PGD, D_OC report latch on fault;Hot swap, eFuse, slew rate, current report;4.5;25;MLP55-32;5 x 5 x 0.8;63094;Datasheet/power-ics/industrial/SiC32304/SiC32304.pdf;None
SiP32101;Active;2.3 V to 5.5 V, 6.5 mΩ, 7 A, bidirectional switch, EN active low with internal pull-down resistor;Slew rate, true bidirectional;2.3;5.5;WCSP12;1.3 x 1.7 x 0.5;78628;Datasheet/power-ics/industrial/SiP32101/SiP32101.pdf;None
SiP32102;Active;2.3 V to 5.5 V, 6.5 mΩ, 7 A, bidirectional switch, EN active high with internal pull-down resistor;Slew rate, true bidirectional;2.3;5.5;WCSP12;1.3 x 1.7 x 0.5;78628;Datasheet/power-ics/industrial/SiP32102/SiP32102.pdf;None
SiP32103;Active;2.3 V to 5.5 V, 6.5 mΩ, 7 A, bidirectional switch, EN active low with internal pull-up resistor;Slew rate, true bidirectional;2.3;5.5;WCSP12;1.3 x 1.7 x 0.5;78628;Datasheet/power-ics/industrial/SiP32103/SiP32103.pdf;None
SiP32104;Active;2.3 V to 5.5 V, 6.5 mΩ, 7 A, bidirectional switch, EN active low;Slew rate, true bidirectional;2.3;5.5;WCSP12;1.3 x 1.7 x 0.5;78628;Datasheet/power-ics/industrial/SiP32104/SiP32104.pdf;None
SiC448;New;6 A, 4.5 V to 45 V input, 100 kHz to 2 MHz, synchronous buck regulator;microBUCK (step down regulator);4.5;45;PowerPAK MLP55-27L;5 x 5 x 0.75;77185;Datasheet/power-ics/industrial/SiC448/SiC448.pdf;None
SiC466;New;10 A, 4.5 V to 60 V input,100 kHz to 2 MHz,synchronous microBUCKregulator;microBUCK (step down regulator);4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;76044;Datasheet/power-ics/industrial/SiC466/SiC466.pdf;None
SiC467;New;6 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;microBUCK (step down regulator);4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;76044;Datasheet/power-ics/industrial/SiC467/SiC467.pdf;None
SiC468;New;4 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;microBUCK (step down regulator);4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;76044;Datasheet/power-ics/industrial/SiC468/SiC468.pdf;None
SiC469;New;2 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;microBUCK (step down regulator);4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;76044;Datasheet/power-ics/industrial/SiC469/SiC469.pdf;None
SiP32433A;Active;3.5 A, 78 mΩ, 2.8 V to 23 V, programmable OVP and current limit, active reverse blocking, latch-off on fault;Slew rate, current limit;2.8;28;DFN33-10L;3.0 x 3.0 x 0.9;63175;Datasheet/power-ics/industrial/SiP32433A/SiP32433A.pdf;None
