Part Number;Product Image;Package;Dimensions(mm);Carrier Frequency(kHz);AGC;Transmission DistanceTyp.(m);Detection Threshold /Sensitivity Typ.;Half ViewingAngle(°);Supply CurrentTyp.(mA);Pinning;Recommended for RemoteControl Code;Application;Mounting;Image path;Datasheet part;3d model part
TSMP94100;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;38;;18;0.2;± 45;0.35;1 = carrier OUT, 2 = GND, 3 = VS;;Repeater;Leaded;image/ir-receiver-modules/82914.png;Datasheet\/ir-receiver-modules/TSMP94100\TSMP94100.pdf;None
TSMP95000;Enlarge;Heimdall;6.8 W x 3.0 H x 3.2 D;30 to 60;;1.8;12;± 50;0.35;1, 4 = GND, 2 = VS, 3 = carrier OUT;;Code learning;SMD;image/ir-receiver-modules/82907.png;Datasheet\/ir-receiver-modules/TSMP95000\TSMP95000.pdf;None
TSMP95100XV;Enlarge;Heimdall;6.8 W x 3.0 H x 3.2 D;38;;10;0.5;± 50;0.35;1, 4 = GND, 2 = VS, 3 = OUT;;Repeater;SMD;image/ir-receiver-modules/82913.png;Datasheet\/ir-receiver-modules/TSMP95100XV\TSMP95100XV.pdf;None
TSMP96000;Enlarge;Panhead;7.5 W x 5.3 H x 4.0 D;30 to 60;;1.8;12;± 50;0.35;1 = GND, 2 = N.C., 3 = VS, 4 = OUT;;Code learning;SMD;image/ir-receiver-modules/82906.png;Datasheet\/ir-receiver-modules/TSMP96000\TSMP96000.pdf;None
TSMP97000;Enlarge;Belobog;3.95 W x 3.95 H x 0.8 D;30 to 60;;1.8;12;± 75;0.35;1 = OUT, 2, 3, 6, 7, 8 = GND, 4, 5 = VS;;Code learning;SMD;image/ir-receiver-modules/82844.png;Datasheet\/ir-receiver-modules/TSMP97000\TSMP97000.pdf;None
TSMP98000;Enlarge;Minicast;5.0 W x 6.95 H x 4.8 D;30 to 60;;1.8;12;± 45;0.35;1 = carrier OUT, 2 = GND, 3 = VS;;Code learning;Leaded;image/ir-receiver-modules/82908.png;Datasheet\/ir-receiver-modules/TSMP98000\TSMP98000.pdf;None
TSMP98100;Enlarge;Minicast;5.0 W x 6.95 H x 4.8 D;38;;12;0.4;± 45;0.35;1 = carrier OUT, 2 = GND, 3 = VS;;Repeater;Leaded;image/ir-receiver-modules/82911.png;Datasheet\/ir-receiver-modules/TSMP98100\TSMP98100.pdf;None
TSOP12130;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;30;AGC1;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12130\TSOP12130.pdf;Datasheet\/ir-receiver-modules/TSOP12130\TSOP12130.zip
TSOP12133;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;33;AGC1;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12133\TSOP12133.pdf;Datasheet\/ir-receiver-modules/TSOP12133\TSOP12133.zip
TSOP12136;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;36;AGC1;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12136\TSOP12136.pdf;Datasheet\/ir-receiver-modules/TSOP12136\TSOP12136.zip
TSOP12138;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;38;AGC1;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12138\TSOP12138.pdf;Datasheet\/ir-receiver-modules/TSOP12138\TSOP12138.zip
TSOP12140;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;40;AGC1;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12140\TSOP12140.pdf;Datasheet\/ir-receiver-modules/TSOP12140\TSOP12140.zip
TSOP12156;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;56;AGC1;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12156\TSOP12156.pdf;Datasheet\/ir-receiver-modules/TSOP12156\TSOP12156.zip
TSOP12230;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;30;AGC2;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12230\TSOP12230.pdf;Datasheet\/ir-receiver-modules/TSOP12230\TSOP12230.zip
TSOP12233;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;33;AGC2;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12233\TSOP12233.pdf;Datasheet\/ir-receiver-modules/TSOP12233\TSOP12233.zip
TSOP12236;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;36;AGC2;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12236\TSOP12236.pdf;Datasheet\/ir-receiver-modules/TSOP12236\TSOP12236.zip
TSOP12238;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;38;AGC2;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12238\TSOP12238.pdf;Datasheet\/ir-receiver-modules/TSOP12238\TSOP12238.zip
TSOP12240;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;40;AGC2;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";Sony;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12240\TSOP12240.pdf;Datasheet\/ir-receiver-modules/TSOP12240\TSOP12240.zip
TSOP12256;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;56;AGC2;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";Cisco;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12256\TSOP12256.pdf;Datasheet\/ir-receiver-modules/TSOP12256\TSOP12256.zip
TSOP12330;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;30;AGC3;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12330\TSOP12330.pdf;Datasheet\/ir-receiver-modules/TSOP12330\TSOP12330.zip
TSOP12333;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;33;AGC3;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12333\TSOP12333.pdf;Datasheet\/ir-receiver-modules/TSOP12333\TSOP12333.zip
TSOP12336;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;36;AGC3;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";RCMM;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12336\TSOP12336.pdf;Datasheet\/ir-receiver-modules/TSOP12336\TSOP12336.zip
TSOP12338;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;38;AGC3;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";RECS-80 Code;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12338\TSOP12338.pdf;Datasheet\/ir-receiver-modules/TSOP12338\TSOP12338.zip
TSOP12338;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;38;AGC3;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";XMP;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12338\TSOP12338.pdf;Datasheet\/ir-receiver-modules/TSOP12338\TSOP12338.zip
TSOP12340;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;40;AGC3;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12340\TSOP12340.pdf;Datasheet\/ir-receiver-modules/TSOP12340\TSOP12340.zip
TSOP12356;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;56;AGC3;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";r-map;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12356\TSOP12356.pdf;Datasheet\/ir-receiver-modules/TSOP12356\TSOP12356.zip
TSOP12430;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;30;AGC4;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12430\TSOP12430.pdf;Datasheet\/ir-receiver-modules/TSOP12430\TSOP12430.zip
TSOP12433;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;33;AGC4;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12433\TSOP12433.pdf;Datasheet\/ir-receiver-modules/TSOP12433\TSOP12433.zip
TSOP12436;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;36;AGC4;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";Panasonic;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12436\TSOP12436.pdf;Datasheet\/ir-receiver-modules/TSOP12436\TSOP12436.zip
TSOP12436;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;36;AGC4;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";RC-6;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12436\TSOP12436.pdf;Datasheet\/ir-receiver-modules/TSOP12436\TSOP12436.zip
TSOP12438;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;38;AGC4;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";Mitsubishi;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12438\TSOP12438.pdf;Datasheet\/ir-receiver-modules/TSOP12438\TSOP12438.zip
TSOP12438;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;38;AGC4;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";NEC;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12438\TSOP12438.pdf;Datasheet\/ir-receiver-modules/TSOP12438\TSOP12438.zip
TSOP12438;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;38;AGC4;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";Sejin 4PPM;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12438\TSOP12438.pdf;Datasheet\/ir-receiver-modules/TSOP12438\TSOP12438.zip
TSOP12438;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;38;AGC4;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";Sharp;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12438\TSOP12438.pdf;Datasheet\/ir-receiver-modules/TSOP12438\TSOP12438.zip
TSOP12440;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;40;AGC4;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12440\TSOP12440.pdf;Datasheet\/ir-receiver-modules/TSOP12440\TSOP12440.zip
TSOP12456;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;56;AGC4;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";r-step;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12456\TSOP12456.pdf;Datasheet\/ir-receiver-modules/TSOP12456\TSOP12456.zip
TSOP12530;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;30;AGC5;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12530\TSOP12530.pdf;Datasheet\/ir-receiver-modules/TSOP12530\TSOP12530.zip
TSOP12533;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;33;AGC5;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12533\TSOP12533.pdf;Datasheet\/ir-receiver-modules/TSOP12533\TSOP12533.zip
TSOP12536;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;36;AGC5;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12536\TSOP12536.pdf;Datasheet\/ir-receiver-modules/TSOP12536\TSOP12536.zip
TSOP12538;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;38;AGC5;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12538\TSOP12538.pdf;Datasheet\/ir-receiver-modules/TSOP12538\TSOP12538.zip
TSOP12540;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;40;AGC5;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12540\TSOP12540.pdf;Datasheet\/ir-receiver-modules/TSOP12540\TSOP12540.zip
TSOP12556;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;56;AGC5;39;0.05;± 45;0.35;"1 = OUT, 2 = VS,
3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82804.png;Datasheet\/ir-receiver-modules/TSOP12556\TSOP12556.pdf;Datasheet\/ir-receiver-modules/TSOP12556\TSOP12556.zip
TSOP12630;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;30;AGC6;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12630\TSOP12630.pdf;Datasheet\/ir-receiver-modules/TSOP12630\TSOP12630.zip
TSOP12633;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;33;AGC6;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12633\TSOP12633.pdf;Datasheet\/ir-receiver-modules/TSOP12633\TSOP12633.zip
TSOP12636;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;36;AGC6;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";RC-5;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12636\TSOP12636.pdf;Datasheet\/ir-receiver-modules/TSOP12636\TSOP12636.zip
TSOP12638;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;38;AGC6;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12638\TSOP12638.pdf;Datasheet\/ir-receiver-modules/TSOP12638\TSOP12638.zip
TSOP12640;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;40;AGC6;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12640\TSOP12640.pdf;Datasheet\/ir-receiver-modules/TSOP12640\TSOP12640.zip
TSOP12656;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;56;AGC6;39;0.05;± 45;0.35;"1 = OUT,
2 = VS, 3 = GND";RCA;Remote control;Leaded;image/ir-receiver-modules/82803.png;Datasheet\/ir-receiver-modules/TSOP12656\TSOP12656.pdf;Datasheet\/ir-receiver-modules/TSOP12656\TSOP12656.zip
TSOP13130;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;30;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82805.png;Datasheet\/ir-receiver-modules/TSOP13130\TSOP13130.pdf;Datasheet\/ir-receiver-modules/TSOP13130\TSOP13130.zip
TSOP13130DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;30;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82881.png;Datasheet\/ir-receiver-modules/TSOP13130DF1P\TSOP13130DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP13130DF1P\TSOP13130DF1P.zip
TSOP13130P10TR;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;30;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82871.png;Datasheet\/ir-receiver-modules/TSOP13130P10TR\TSOP13130P10TR.pdf;Datasheet\/ir-receiver-modules/TSOP13130P10TR\TSOP13130P10TR.zip
TSOP13130P16TR;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;30;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82876.png;Datasheet\/ir-receiver-modules/TSOP13130P16TR\TSOP13130P16TR.pdf;Datasheet\/ir-receiver-modules/TSOP13130P16TR\TSOP13130P16TR.zip
TSOP13133;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;33;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82805.png;Datasheet\/ir-receiver-modules/TSOP13133\TSOP13133.pdf;Datasheet\/ir-receiver-modules/TSOP13133\TSOP13133.zip
TSOP13133DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;33;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82881.png;Datasheet\/ir-receiver-modules/TSOP13133DF1P\TSOP13133DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP13133DF1P\TSOP13133DF1P.zip
TSOP13133P10TR;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;33;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82871.png;Datasheet\/ir-receiver-modules/TSOP13133P10TR\TSOP13133P10TR.pdf;Datasheet\/ir-receiver-modules/TSOP13133P10TR\TSOP13133P10TR.zip
TSOP13133P16TR;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;33;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82876.png;Datasheet\/ir-receiver-modules/TSOP13133P16TR\TSOP13133P16TR.pdf;Datasheet\/ir-receiver-modules/TSOP13133P16TR\TSOP13133P16TR.zip
TSOP13136;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;36;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82805.png;Datasheet\/ir-receiver-modules/TSOP13136\TSOP13136.pdf;Datasheet\/ir-receiver-modules/TSOP13136\TSOP13136.zip
TSOP13136 DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;36;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82881.png;Datasheet\/ir-receiver-modules/TSOP13136 DF1P\TSOP13136 DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP13136 DF1P\TSOP13136 DF1P.zip
TSOP13136P10TR;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;36;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82871.png;Datasheet\/ir-receiver-modules/TSOP13136P10TR\TSOP13136P10TR.pdf;Datasheet\/ir-receiver-modules/TSOP13136P10TR\TSOP13136P10TR.zip
TSOP13136P16TR;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;36;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82876.png;Datasheet\/ir-receiver-modules/TSOP13136P16TR\TSOP13136P16TR.pdf;Datasheet\/ir-receiver-modules/TSOP13136P16TR\TSOP13136P16TR.zip
TSOP13138;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82805.png;Datasheet\/ir-receiver-modules/TSOP13138\TSOP13138.pdf;Datasheet\/ir-receiver-modules/TSOP13138\TSOP13138.zip
TSOP13138DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82881.png;Datasheet\/ir-receiver-modules/TSOP13138DF1P\TSOP13138DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP13138DF1P\TSOP13138DF1P.zip
TSOP13138P10TR;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82871.png;Datasheet\/ir-receiver-modules/TSOP13138P10TR\TSOP13138P10TR.pdf;Datasheet\/ir-receiver-modules/TSOP13138P10TR\TSOP13138P10TR.zip
TSOP13138P16TR;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82876.png;Datasheet\/ir-receiver-modules/TSOP13138P16TR\TSOP13138P16TR.pdf;Datasheet\/ir-receiver-modules/TSOP13138P16TR\TSOP13138P16TR.zip
TSOP13140;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;40;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82805.png;Datasheet\/ir-receiver-modules/TSOP13140\TSOP13140.pdf;Datasheet\/ir-receiver-modules/TSOP13140\TSOP13140.zip
TSOP13140DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;40;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82881.png;Datasheet\/ir-receiver-modules/TSOP13140DF1P\TSOP13140DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP13140DF1P\TSOP13140DF1P.zip
