Part Number;Product Image;Description;Voltage;Capacitance;Dielectric;Lead Spacing(mm/inch);Packaging;Lead Style;Image path;Datasheet part;3d model part
125LD50-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);5000;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image\capacitors\23106.png;Datasheet\capacitors\125LD50-R\125LD50-R.pdf;None
125LD68-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);6800;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image\capacitors\23106.png;Datasheet\capacitors\125LD68-R\125LD68-R.pdf;None
125LD82-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);8200;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image\capacitors\23106.png;Datasheet\capacitors\125LD82-R\125LD82-R.pdf;None
125LS10-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);10000;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image\capacitors\23106.png;Datasheet\capacitors\125LS10-R\125LS10-R.pdf;None
125LS10GJ-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);10000;Y5V;9.53 mm / 0.375 inch;bulk;Inside Crimp;image\capacitors\23106.png;Datasheet\capacitors\125LS10GJ-R\125LS10GJ-R.pdf;None
125LS10JJ-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);10000;Y5V;9.53 mm / 0.375 inch;bulk;Inside Crimp;image\capacitors\23106.png;Datasheet\capacitors\125LS10JJ-R\125LS10JJ-R.pdf;None
125LS10QAM1-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);10000;Y5V;5 mm / 0.200 inch;Reel;Straight;image\capacitors\23106.png;Datasheet\capacitors\125LS10QAM1-R\125LS10QAM1-R.pdf;None
125LS10QF-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);10000;Y5V;7.5 mm / 0.300 inch;Reel;Straight;image\capacitors\23106.png;Datasheet\capacitors\125LS10QF-R\125LS10QF-R.pdf;None
125LS10QQ-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);10000;Y5V;10 mm / 0.400 inch;Reel;Straight;image\capacitors\23106.png;Datasheet\capacitors\125LS10QQ-R\125LS10QQ-R.pdf;None
125LS10RQ-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);10000;Y5V;10 mm / 0.400 inch;Reel;Inside Crimp;image\capacitors\23106.png;Datasheet\capacitors\125LS10RQ-R\125LS10RQ-R.pdf;None
125LS15-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);15000;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image\capacitors\23106.png;Datasheet\capacitors\125LS15-R\125LS15-R.pdf;None
125LS18-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);18000;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image\capacitors\23106.png;Datasheet\capacitors\125LS18-R\125LS18-R.pdf;None
125LS20-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);20000;Y5U;9.53 mm / 0.375 inch;Bulk;Straight;image\capacitors\23106.png;Datasheet\capacitors\125LS20-R\125LS20-R.pdf;None
125LS20JJ-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);20000;Y5U;9.53 mm / 0.375 inch;bulk;Inside Crimp;image\capacitors\23106.png;Datasheet\capacitors\125LS20JJ-R\125LS20JJ-R.pdf;None
125LS22-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);22000;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image\capacitors\23106.png;Datasheet\capacitors\125LS22-R\125LS22-R.pdf;None
125LS22BR-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);22000;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image\capacitors\23106.png;Datasheet\capacitors\125LS22BR-R\125LS22BR-R.pdf;None
125LS22QAA-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);22000;Y5V;7.5 mm / 0.300 inch;Reel;Straight;image\capacitors\23106.png;Datasheet\capacitors\125LS22QAA-R\125LS22QAA-R.pdf;None
125LS22QQ-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);22000;Y5V;10 mm / 0.400 inch;Reel;Straight;image\capacitors\23106.png;Datasheet\capacitors\125LS22QQ-R\125LS22QQ-R.pdf;None
125LS30-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);30000;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image\capacitors\23106.png;Datasheet\capacitors\125LS30-R\125LS30-R.pdf;None
125LS50-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);50000;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image\capacitors\23106.png;Datasheet\capacitors\125LS50-R\125LS50-R.pdf;None
AY2100K29U2JS63L0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;10 mm / 0.400 inch;Bulk;Straight;image\capacitors\28550.png;Datasheet\capacitors\AY2100K29U2JS63L0\AY2100K29U2JS63L0.pdf;Datasheet\capacitors\AY2100K29U2JS63L0\AY2100K29U2JS63L0.zip
AY2100K29U2JS63L5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;5 mm / 0.200 inch;Bulk;Straight;image\capacitors\28550.png;Datasheet\capacitors\AY2100K29U2JS63L5\AY2100K29U2JS63L5.pdf;Datasheet\capacitors\AY2100K29U2JS63L5\AY2100K29U2JS63L5.zip
AY2100K29U2JS63L7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;7.5 mm / 0.300 inch;Bulk;Straight;image\capacitors\28550.png;Datasheet\capacitors\AY2100K29U2JS63L7\AY2100K29U2JS63L7.pdf;Datasheet\capacitors\AY2100K29U2JS63L7\AY2100K29U2JS63L7.zip
AY2100K29U2JS63V0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;10 mm / 0.400 inch;Bulk;Inline Wire;image\capacitors\28550.png;Datasheet\capacitors\AY2100K29U2JS63V0\AY2100K29U2JS63V0.pdf;Datasheet\capacitors\AY2100K29U2JS63V0\AY2100K29U2JS63V0.zip
AY2100K29U2JS63V5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;5 mm / 0.200 inch;Bulk;Inline Wire;image\capacitors\28550.png;Datasheet\capacitors\AY2100K29U2JS63V5\AY2100K29U2JS63V5.pdf;Datasheet\capacitors\AY2100K29U2JS63V5\AY2100K29U2JS63V5.zip
AY2100K29U2JS63V7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;7.5 mm / 0.300 inch;Bulk;Inline Wire;image\capacitors\28550.png;Datasheet\capacitors\AY2100K29U2JS63V7\AY2100K29U2JS63V7.pdf;Datasheet\capacitors\AY2100K29U2JS63V7\AY2100K29U2JS63V7.zip
AY2100K29U2JS6TL0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;10 mm / 0.400 inch;Reel;Straight;image\capacitors\28550.png;Datasheet\capacitors\AY2100K29U2JS6TL0\AY2100K29U2JS6TL0.pdf;Datasheet\capacitors\AY2100K29U2JS6TL0\AY2100K29U2JS6TL0.zip
AY2100K29U2JS6TL5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;5 mm / 0.200 inch;Reel;Straight;image\capacitors\28550.png;Datasheet\capacitors\AY2100K29U2JS6TL5\AY2100K29U2JS6TL5.pdf;Datasheet\capacitors\AY2100K29U2JS6TL5\AY2100K29U2JS6TL5.zip
AY2100K29U2JS6TL7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;7.5 mm / 0.300 inch;Reel;Straight;image\capacitors\28550.png;Datasheet\capacitors\AY2100K29U2JS6TL7\AY2100K29U2JS6TL7.pdf;Datasheet\capacitors\AY2100K29U2JS6TL7\AY2100K29U2JS6TL7.zip
AY2100K29U2JS6TV0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;10 mm / 0.400 inch;Reel;Inline Wire;image\capacitors\28550.png;Datasheet\capacitors\AY2100K29U2JS6TV0\AY2100K29U2JS6TV0.pdf;Datasheet\capacitors\AY2100K29U2JS6TV0\AY2100K29U2JS6TV0.zip
AY2100K29U2JS6TV5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;5 mm / 0.200 inch;Reel;Inline Wire;image\capacitors\28550.png;Datasheet\capacitors\AY2100K29U2JS6TV5\AY2100K29U2JS6TV5.pdf;Datasheet\capacitors\AY2100K29U2JS6TV5\AY2100K29U2JS6TV5.zip
AY2100K29U2JS6TV7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;7.5 mm / 0.300 inch;Reel;Inline Wire;image\capacitors\28550.png;Datasheet\capacitors\AY2100K29U2JS6TV7\AY2100K29U2JS6TV7.pdf;Datasheet\capacitors\AY2100K29U2JS6TV7\AY2100K29U2JS6TV7.zip
AY2100K29U2JS6UL0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;10 mm / 0.400 inch;Ammo;Straight;image\capacitors\28550.png;Datasheet\capacitors\AY2100K29U2JS6UL0\AY2100K29U2JS6UL0.pdf;Datasheet\capacitors\AY2100K29U2JS6UL0\AY2100K29U2JS6UL0.zip
AY2100K29U2JS6UL5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;5 mm / 0.200 inch;Ammo;Straight;image\capacitors\28550.png;Datasheet\capacitors\AY2100K29U2JS6UL5\AY2100K29U2JS6UL5.pdf;Datasheet\capacitors\AY2100K29U2JS6UL5\AY2100K29U2JS6UL5.zip
AY2100K29U2JS6UL7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;7.5 mm / 0.300 inch;Ammo;Straight;image\capacitors\28550.png;Datasheet\capacitors\AY2100K29U2JS6UL7\AY2100K29U2JS6UL7.pdf;Datasheet\capacitors\AY2100K29U2JS6UL7\AY2100K29U2JS6UL7.zip
AY2100K29U2JS6UV0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;10 mm / 0.400 inch;Ammo;Inline Wire;image\capacitors\28550.png;Datasheet\capacitors\AY2100K29U2JS6UV0\AY2100K29U2JS6UV0.pdf;Datasheet\capacitors\AY2100K29U2JS6UV0\AY2100K29U2JS6UV0.zip
AY2100K29U2JS6UV5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;5 mm / 0.200 inch;Ammo;Inline Wire;image\capacitors\28550.png;Datasheet\capacitors\AY2100K29U2JS6UV5\AY2100K29U2JS6UV5.pdf;Datasheet\capacitors\AY2100K29U2JS6UV5\AY2100K29U2JS6UV5.zip
AY2100K29U2JS6UV7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);10;U2J;7.5 mm / 0.300 inch;Ammo;Inline Wire;image\capacitors\28550.png;Datasheet\capacitors\AY2100K29U2JS6UV7\AY2100K29U2JS6UV7.pdf;Datasheet\capacitors\AY2100K29U2JS6UV7\AY2100K29U2JS6UV7.zip
AY2101K29Y5SS63L0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);100;Y5S;10 mm / 0.400 inch;Bulk;Straight;image\capacitors\28550.png;Datasheet\capacitors\AY2101K29Y5SS63L0\AY2101K29Y5SS63L0.pdf;Datasheet\capacitors\AY2101K29Y5SS63L0\AY2101K29Y5SS63L0.zip
AY2101K29Y5SS63L5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);100;Y5S;5 mm / 0.200 inch;Bulk;Straight;image\capacitors\28550.png;Datasheet\capacitors\AY2101K29Y5SS63L5\AY2101K29Y5SS63L5.pdf;Datasheet\capacitors\AY2101K29Y5SS63L5\AY2101K29Y5SS63L5.zip
AY2101K29Y5SS63L7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);100;Y5S;7.5 mm / 0.300 inch;Bulk;Straight;image\capacitors\28550.png;Datasheet\capacitors\AY2101K29Y5SS63L7\AY2101K29Y5SS63L7.pdf;Datasheet\capacitors\AY2101K29Y5SS63L7\AY2101K29Y5SS63L7.zip
AY2101K29Y5SS63V0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);100;Y5S;10 mm / 0.400 inch;Bulk;Inline Wire;image\capacitors\28550.png;Datasheet\capacitors\AY2101K29Y5SS63V0\AY2101K29Y5SS63V0.pdf;Datasheet\capacitors\AY2101K29Y5SS63V0\AY2101K29Y5SS63V0.zip
AY2101K29Y5SS63V5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);100;Y5S;5 mm / 0.200 inch;Bulk;Inline Wire;image\capacitors\28550.png;Datasheet\capacitors\AY2101K29Y5SS63V5\AY2101K29Y5SS63V5.pdf;Datasheet\capacitors\AY2101K29Y5SS63V5\AY2101K29Y5SS63V5.zip
AY2101K29Y5SS63V7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);100;Y5S;7.5 mm / 0.300 inch;Bulk;Inline Wire;image\capacitors\28550.png;Datasheet\capacitors\AY2101K29Y5SS63V7\AY2101K29Y5SS63V7.pdf;Datasheet\capacitors\AY2101K29Y5SS63V7\AY2101K29Y5SS63V7.zip
AY2101K29Y5SS6TL0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);100;Y5S;10 mm / 0.400 inch;Reel;Straight;image\capacitors\28550.png;Datasheet\capacitors\AY2101K29Y5SS6TL0\AY2101K29Y5SS6TL0.pdf;Datasheet\capacitors\AY2101K29Y5SS6TL0\AY2101K29Y5SS6TL0.zip
AY2101K29Y5SS6TL5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);100;Y5S;5 mm / 0.200 inch;Reel;Straight;image\capacitors\28550.png;Datasheet\capacitors\AY2101K29Y5SS6TL5\AY2101K29Y5SS6TL5.pdf;Datasheet\capacitors\AY2101K29Y5SS6TL5\AY2101K29Y5SS6TL5.zip
AY2101K29Y5SS6TL7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);100;Y5S;7.5 mm / 0.300 inch;Reel;Straight;image\capacitors\28550.png;Datasheet\capacitors\AY2101K29Y5SS6TL7\AY2101K29Y5SS6TL7.pdf;Datasheet\capacitors\AY2101K29Y5SS6TL7\AY2101K29Y5SS6TL7.zip
AY2101K29Y5SS6TV0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);100;Y5S;10 mm / 0.400 inch;Reel;Inline Wire;image\capacitors\28550.png;Datasheet\capacitors\AY2101K29Y5SS6TV0\AY2101K29Y5SS6TV0.pdf;Datasheet\capacitors\AY2101K29Y5SS6TV0\AY2101K29Y5SS6TV0.zip
AY2101K29Y5SS6TV5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);100;Y5S;5 mm / 0.200 inch;Reel;Inline Wire;image\capacitors\28550.png;Datasheet\capacitors\AY2101K29Y5SS6TV5\AY2101K29Y5SS6TV5.pdf;Datasheet\capacitors\AY2101K29Y5SS6TV5\AY2101K29Y5SS6TV5.zip
AY2101K29Y5SS6TV7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);100;Y5S;7.5 mm / 0.300 inch;Reel;Inline Wire;image\capacitors\28550.png;Datasheet\capacitors\AY2101K29Y5SS6TV7\AY2101K29Y5SS6TV7.pdf;Datasheet\capacitors\AY2101K29Y5SS6TV7\AY2101K29Y5SS6TV7.zip
AY2101K29Y5SS6UL0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);100;Y5S;10 mm / 0.400 inch;Ammo;Straight;image\capacitors\28550.png;Datasheet\capacitors\AY2101K29Y5SS6UL0\AY2101K29Y5SS6UL0.pdf;Datasheet\capacitors\AY2101K29Y5SS6UL0\AY2101K29Y5SS6UL0.zip
AY2101K29Y5SS6UL5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);100;Y5S;5 mm / 0.200 inch;Ammo;Straight;image\capacitors\28550.png;Datasheet\capacitors\AY2101K29Y5SS6UL5\AY2101K29Y5SS6UL5.pdf;Datasheet\capacitors\AY2101K29Y5SS6UL5\AY2101K29Y5SS6UL5.zip
AY2101K29Y5SS6UL7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);100;Y5S;7.5 mm / 0.300 inch;Ammo;Straight;image\capacitors\28550.png;Datasheet\capacitors\AY2101K29Y5SS6UL7\AY2101K29Y5SS6UL7.pdf;Datasheet\capacitors\AY2101K29Y5SS6UL7\AY2101K29Y5SS6UL7.zip
